epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2910727560520172,9.999999747378752e-06,1.8817460536956787,0.3343389630317688,1.7836617231369019
1,0.4207301735877991,9.999999747378752e-06,1.5593016147613525,0.4285714328289032,1.5566459894180298
2,0.4795573949813843,9.999999747378752e-06,1.4124760627746582,0.4601597189903259,1.4682878255844116
3,0.5243811011314392,9.999999747378752e-06,1.3103772401809692,0.472582072019577,1.419500470161438
4,0.5537634491920471,9.999999747378752e-06,1.2327419519424438,0.484294593334198,1.385386347770691
5,0.5795823931694031,9.999999747378752e-06,1.1717811822891235,0.48997336626052856,1.360694408416748
6,0.6004000902175903,9.999999747378752e-06,1.1165165901184082,0.49636203050613403,1.3433657884597778
7,0.6240310072898865,9.999999747378752e-06,1.059722661972046,0.5034605264663696,1.3306663036346436
8,0.645911455154419,9.999999747378752e-06,1.0093286037445068,0.5045253038406372,1.3235502243041992
9,0.662102997303009,9.999999747378752e-06,0.9718832969665527,0.5100266337394714,1.315912127494812
10,0.6824206113815308,9.999999747378752e-06,0.9230145215988159,0.5139307975769043,1.3079743385314941
11,0.7012377977371216,9.999999747378752e-06,0.8795625567436218,0.5196095705032349,1.311570644378662
12,0.717929482460022,9.999999747378752e-06,0.8387959599494934,0.5185447931289673,1.3076646327972412
13,0.7301825284957886,9.999999747378752e-06,0.8035825490951538,0.5224489569664001,1.3152140378952026
14,0.7479369640350342,9.999999747378752e-06,0.7625089287757874,0.5212067365646362,1.3141840696334839
15,0.7732558250427246,2.9999998787388904e-06,0.7111309766769409,0.523158848285675,1.3136956691741943
